min_id,dep_id,start_date,end_date,active
2610/11_min_24,2610/11_dep_230,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_231,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_232,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_233,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_234,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_235,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_236,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_237,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_238,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_239,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_240,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_241,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_242,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_243,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_244,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_245,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_246,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_247,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_248,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_249,2015-09-21,-1,TRUE
2610/11_min_25,2610/11_dep_250,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_251,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_252,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_253,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_254,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_255,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_256,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_257,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_258,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_259,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_260,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_261,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_262,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_263,2015-09-21,-1,TRUE
2610/11_min_26,2610/11_dep_264,2015-09-21,-1,TRUE
2610/11_min_27,2610/11_dep_265,2015-09-21,-1,TRUE
2610/11_min_27,2610/11_dep_266,2015-09-21,-1,TRUE
2610/11_min_27,2610/11_dep_267,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_268,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_269,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_270,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_271,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_272,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_273,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_274,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_275,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_276,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_277,2015-09-21,-1,TRUE
2610/11_min_28,2610/11_dep_278,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_279,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_280,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_281,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_282,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_283,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_284,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_285,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_286,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_287,2015-09-21,-1,TRUE
2610/11_min_29,2610/11_dep_288,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_289,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_290,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_291,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_292,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_293,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_294,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_295,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_296,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_297,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_298,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_299,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_300,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_301,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_302,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_303,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_304,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_305,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_306,2015-09-21,-1,TRUE
2610/11_min_30,2610/11_dep_307,2015-09-21,-1,TRUE
2610/11_min_31,2610/11_dep_308,2015-09-21,-1,TRUE
2610/11_min_31,2610/11_dep_309,2015-09-21,-1,TRUE
2610/11_min_31,2610/11_dep_310,2015-09-21,-1,TRUE
2610/11_min_31,2610/11_dep_311,2015-09-21,-1,TRUE
2610/11_min_31,2610/11_dep_312,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_313,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_314,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_315,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_316,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_317,2015-09-21,-1,TRUE
